model auto,year of production,mileage,exterior colour,tax,transmission,wheel drive,condition,number of owners,engine volume,engine power,engine type,fuel type,acceleration,MPG,country of the car brand,class,top speed,environmental class,price
"BMW X7 30d, 2019",2019,34 380 км,бежевый,18 675  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.0 л,249 л.с.,дизельный ,ДТ ,7.0 с,7.3 л,Германия ,F ,227 км/ч,Euro 6 ,10 100 000 
"Lada (ВАЗ) Vesta, 2024",2024,57 км,чёрный,2 120  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,106 л.с.,бензиновый ,АИ-92 ,11.3 с,7.3 л,Россия ,B ,182 км/ч,Euro 5 ,1 415 000 
"Toyota RAV4, 2020",2020,38 701 км,синий,15 375  / год,автоматическая,передний,Не требует ремонта,1 владелец,2.5 л,205 л.с.,бензиновый ,АИ-92 ,?,7.8 л,Япония ,C ,?,?,2 399 000 
"Hyundai Elantra, 2017",2017,75 236 км,белый,2 560  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,128 л.с.,бензиновый ,АИ-95 ,11.6 с,6.9 л,Южная Корея ,C ,195 км/ч,Euro 5 ,1 395 000 
"Volkswagen Polo, 2020",2020,26 159 км,коричневый,2 200  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,110 л.с.,бензиновый ,АИ-95 ,10.7 с,6.4 л,Германия ,B ,195 км/ч,Euro 5 ,1 690 000 
"Jeep Wrangler 4xe, 2023",2023,7 100 км,серый,57 150  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,381 л.с.,гибридный ,АИ-95 ,?,4.8 л,США ,J ,?,?,7 800 000 
"Chevrolet Niva, 2010",2010,200 000 км,чёрный,720  / год,механическая,полный,Не требует ремонта,3 или более,1.7 л,80 л.с.,бензиновый ,АИ-95 ,19.0 с,10.8 л,США ,J ,140 км/ч,Euro 4 ,589 000 
"Lada (ВАЗ) Granta, 2023",2023,7 000 км,чёрный,810  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,90 л.с.,бензиновый ,АИ-95 ,11.3 с,6.8 л,Россия ,B ,178 км/ч,Euro 5 ,1 025 000 
"LiXiang L7, 2023",2023,27 км,белый,67 350  / год,автоматическая,полный,Не требует ремонта,1 владелец,1.5 л,449 л.с.,гибридный ,АИ-95 ,5.3 с,7.6 л,Китай ,E ,180 км/ч,?,7 250 000 
"Hyundai Solaris, 2021",2021,1 210 км,белый,2 460  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,123 л.с.,бензиновый ,АИ-92 ,10.3 с,6.3 л,Южная Корея ,B ,193 км/ч,Euro 5 ,2 048 000 
"УАЗ Patriot, 2024",2024,5 288 км,серый,3 000  / год,механическая,полный,Не требует ремонта,1 владелец,2.7 л,150 л.с.,бензиновый ,АИ-92 ,20.0 с,12.5 л,Россия ,J ,150 км/ч,Euro 5 ,1 948 000 
"Zeekr 001 100 kWh, 2023",2023,115 км,чёрный,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,2144 л,544 л.с.,Электро ,?,3.8 с,?,Китай ,E ,200 км/ч,?,7 100 000 
"Kia Spectra, 2007",2007,167 000 км,чёрный,2 020  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,101 л.с.,бензиновый ,АИ-92 ,11.6 с,7.1 л,Южная Корея ,C ,186 км/ч,?,537 000 
"Toyota Passo, 2012",2012,160 000 км,красный,621  / год,вариатор,передний,Не требует ремонта,1 владелец,1.0 л,69 л.с.,бензиновый ,АИ-95 ,13.9 с,4.4 л,Япония ,B ,160 км/ч,?,700 000 
"Hyundai Sonata, 2021",2021,27 600 км,серый,7 200  / год,автоматическая,передний,Не требует ремонта,1 владелец,2.5 л,180 л.с.,бензиновый ,АИ-95 ,9.2 с,7.7 л,Южная Корея ,D ,210 км/ч,Euro 5 ,2 745 000 
"Renault Duster, 2022",2022,10 000 км,жёлтый,3 000  / год,механическая,полный,Не требует ремонта,2 владельца,1.3 л,150 л.с.,бензиновый ,АИ-92 ,10.7 с,6.7 л,Франция ,B ,194 км/ч,Euro 5 ,2 890 000 
"Kia Cerato, 2021",2021,30 000 км,белый,3 000  / год,автоматическая,передний,Не требует ремонта,1 владелец,2.0 л,150 л.с.,бензиновый ,АИ-92 ,9.8 с,7.4 л,Южная Корея ,C ,203 км/ч,Euro 5 ,2 750 000 
"Genesis GV80, 2020",2020,45 552 км,белый,41 700  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,278 л.с.,дизельный ,ДТ ,7.5 с,9.4 л,Южная Корея ,E ,220 км/ч,Euro 5 ,5 390 000 
"Chery Tiggo 8 Pro Max, 2023",2023,16 125 км,чёрный,7 880  / год,роботизированная,полный,Не требует ремонта,1 владелец,2.0 л,197 л.с.,бензиновый ,АИ-92 ,8.4 с,8.3 л,Китай ,D ,210 км/ч,Euro 6 ,3 349 000 
"Renault Logan, 2013",2013,26 000 км,чёрный,756  / год,механическая,передний,Не требует ремонта,2 владельца,1.6 л,84 л.с.,бензиновый ,АИ-92 ,11.5 с,7.3 л,Франция ,B ,175 км/ч,Euro 4 ,435 000 
"Jeep Wrangler, 2021",2021,47 000 км,белый,40 800  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,272 л.с.,бензиновый ,АИ-95 ,7.2 с,11.3 л,США ,J ,?,?,5 100 000 
"Audi A6 allroad 55 TDI, 2019",2019,64 500 км,серый,52 350  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,349 л.с.,дизельный ,ДТ ,5.2 с,6.6 л,Германия ,E ,250 км/ч,Euro 6 ,5 590 000 
"Haval F7, 2022",2022,35 000 км,чёрный,3 000  / год,роботизированная,полный,Не требует ремонта,1 владелец,1.5 л,150 л.с.,бензиновый ,АИ-95 ,11.0 с,8.4 л,Китай ,C ,180 км/ч,Euro 5 ,2 399 000 
"Changan CS35PLUS, 2022",2022,40 000 км,коричневый,2 340  / год,автоматическая,передний,Не требует ремонта,2 владельца,1.6 л,117 л.с.,бензиновый ,АИ-95 ,14.0 с,7.2 л,Китай ,B ,164 км/ч,Euro 4 ,1 750 000 
"Lada (ВАЗ) Vesta SW Sportline, 2023",2023,3 000 км,чёрный,2 360  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,118 л.с.,бензиновый ,АИ-95 ,11.0 с,7.4 л,Россия ,B ,186 км/ч,Euro 5 ,1 950 000 
"Zeekr 001 100 kWh, 2023",2023,80 км,белый,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,2144 л,544 л.с.,Электро ,?,3.8 с,?,Китай ,E ,200 км/ч,?,7 250 000 
"LiXiang L7, 2023",2023,10 876 км,чёрный,67 350  / год,автоматическая,полный,Не требует ремонта,1 владелец,1.5 л,449 л.с.,гибридный ,АИ-95 ,5.3 с,7.6 л,Китай ,E ,180 км/ч,?,6 100 000 
"LiXiang L7, 2023",2023,21 600 км,серый,67 350  / год,автоматическая,полный,Не требует ремонта,1 владелец,1.5 л,449 л.с.,гибридный ,АИ-95 ,5.3 с,7.6 л,Китай ,E ,180 км/ч,?,6 350 000 
"Hyundai Palisade, 2019",2019,51 000 км,серый,8 000  / год,автоматическая,передний,Не требует ремонта,1 владелец,2.2 л,200 л.с.,дизельный ,ДТ ,10.2 с,7.0 л,Южная Корея ,E ,190 км/ч,?,3 870 000 
"Lexus LX 450d, 2016",2016,65 000 км,белый,40 800  / год,автоматическая,полный,Не требует ремонта,2 владельца,4.5 л,272 л.с.,дизельный ,ДТ ,8.6 с,9.5 л,Япония ,J ,210 км/ч,?,8 500 000 
"Ram 1500 Crew Cab, 2018",2018,70 000 км,пурпурный,?,автоматическая,полный,Не требует ремонта,2 владельца,5.7 л,395 л.с.,бензиновый ,АИ-95 ,6.7 с,15.7 л,США ,J ,206 км/ч,?,5 900 000 
"Zeekr 001 86 kWh, 2023",2023,60 км,серый,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,2144 л,544 л.с.,Электро ,?,3.8 с,?,Китай ,E ,200 км/ч,?,6 846 000 
"Toyota Land Cruiser, 2021",2021,7 635 км,белый,44 850  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.4 л,299 л.с.,дизельный ,ДТ ,6.8 с,8.9 л,Япония ,J ,210 км/ч,Euro 6 ,12 600 000 
"Voyah Free, 2023",2023,74 км,чёрный,15 300  / год,автоматическая,полный,Не требует ремонта,1 владелец,1.5 л,490 л.с.,гибридный ,АИ-92 ,4.8 с,0.81 л,Китай ,E ,200 км/ч,Euro 6 ,5 600 000 
"Zeekr 001 100 kWh, 2022",2022,10 580 км,белый,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,2144 л,544 л.с.,Электро ,?,3.8 с,?,Китай ,E ,200 км/ч,?,5 809 990 
"Audi Q7 55 TFSI, 2021",2021,56 410 км,белый,51 000  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,340 л.с.,бензиновый ,АИ-95 ,5.9 с,8.9 л,Германия ,E ,250 км/ч,Euro 6 ,8 400 000 
"Lexus RX 200t, 2017",2017,62 844 км,белый,17 850  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,238 л.с.,бензиновый ,АИ-95 ,9.5 с,7.9 л,Япония ,E ,200 км/ч,Euro 6 ,4 350 000 
"Renault Kaptur, 2021",2021,25 302 км,серый,2 280  / год,вариатор,передний,Не требует ремонта,1 владелец,1.6 л,114 л.с.,бензиновый ,АИ-95 ,12.9 с,7.1 л,Франция ,B ,170 км/ч,Euro 5 ,1 960 000 
"Skoda Superb, 2019",2019,52 902 км,серый,7 200  / год,роботизированная,передний,Не требует ремонта,2 владельца,1.8 л,180 л.с.,бензиновый ,АИ-95 ,8.1 с,5.8 л,Чехия ,D ,232 км/ч,Euro 6 ,2 750 000 
"BMW iX3, 2023",2023,36 км,синий,0  / год,автоматическая,задний,Не требует ремонта,1 владелец,510/1560 л,286 л.с.,Электро ,?,6.8 с,?,Германия ,D ,180 км/ч,?,7 850 000 
"Hyundai Tucson, 2008",2008,263 000 км,серый,2 800  / год,механическая,полный,Не требует ремонта,1 владелец,2.0 л,140 л.с.,бензиновый ,АИ-95 ,11.3 с,8.2 л,Южная Корея ,C ,174 км/ч,?,870 000 
"Land Rover Freelander, 2008",2008,256 577 км,чёрный,6 400  / год,автоматическая,полный,Не требует ремонта,3 или более,2.2 л,160 л.с.,дизельный ,ДТ ,11.2 с,8.5 л,Великобритания ,C ,181 км/ч,?,1 070 000 
"Kia Rio, 2015",2015,127 325 км,белый,2 460  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,123 л.с.,бензиновый ,АИ-95 ,11.2 с,6.4 л,Южная Корея ,B ,185 км/ч,Euro 4 ,1 300 000 
"Kia Sportage, 2013",2013,65 632 км,белый,3 000  / год,механическая,передний,Не требует ремонта,3 или более,2.0 л,150 л.с.,бензиновый ,АИ-95 ,10.4 с,7.5 л,Южная Корея ,C ,184 км/ч,Euro 4 ,1 570 000 
"Infiniti FX37, 2013",2013,136 600 км,белый,49 950  / год,автоматическая,полный,Не требует ремонта,3 или более,3.7 л,333 л.с.,бензиновый ,АИ-95 ,6.8 с,12.2 л,Япония ,E ,233 км/ч,Euro 4 ,2 090 000 
"Lada (ВАЗ) Granta, 2022",2022,62 613 км,коричневый,2 120  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,106 л.с.,бензиновый ,АИ-95 ,10.6 с,6.5 л,Россия ,B ,183 км/ч,Euro 5 ,879 990 
"Opel Vectra, 2008",2008,150 455 км,серый,2 800  / год,роботизированная,передний,Не требует ремонта,3 или более,1.8 л,140 л.с.,бензиновый ,АИ-95 ,10.7 с,7.2 л,Германия ,D ,210 км/ч,?,570 000 
"Lada (ВАЗ) Vesta SW, 2021",2021,68 501 км,серебристый,2 260  / год,вариатор,передний,Не требует ремонта,1 владелец,1.6 л,113 л.с.,бензиновый ,АИ-92 ,12.2 с,7.4 л,Россия ,B ,170 км/ч,Euro 5 ,1 259 990 
"Kia Rio X-Line, 2020",2020,41 440 км,чёрный,2 460  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,123 л.с.,бензиновый ,АИ-92 ,11.6 с,6.8 л,Южная Корея ,B ,183 км/ч,Euro 5 ,1 849 000 
"Toyota RAV4, 2020",2020,38 701 км,синий,15 375  / год,автоматическая,передний,Не требует ремонта,1 владелец,2.5 л,205 л.с.,бензиновый ,АИ-92 ,?,7.8 л,Япония ,C ,?,?,2 399 000 
"Mercedes-Benz GLC 250 d, 2015",2015,60 000 км,коричневый,15 300  / год,автоматическая,полный,Не требует ремонта,2 владельца,2.1 л,204 л.с.,дизельный ,ДТ ,7.6 с,5.5 л,Германия ,D ,222 км/ч,Euro 6 ,3 220 000 
"Lada (ВАЗ) Largus, 2013",2013,110 000 км,белый,2 100  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,105 л.с.,бензиновый ,АИ-95 ,13.1 с,9.0 л,Россия ,C ,165 км/ч,?,540 000 
"Opel Astra GTC, 2013",2013,161 000 км,красный,2 800  / год,автоматическая,передний,Не требует ремонта,3 или более,1.4 л,140 л.с.,бензиновый ,АИ-95 ,10.3 с,6.8 л,Германия ,C ,200 км/ч,Euro 5 ,999 000 
"Lexus GX 460, 2011",2011,138 651 км,чёрный,44 400  / год,автоматическая,полный,Не требует ремонта,2 владельца,4.6 л,296 л.с.,бензиновый ,АИ-95 ,8.3 с,12.8 л,Япония ,J ,175 км/ч,Euro 4 ,3 750 000 
"Kia Rio, 2010",2010,210 660 км,зелёный,855  / год,механическая,передний,Не требует ремонта,2 владельца,1.4 л,95 л.с.,бензиновый ,АИ-92 ,12.3 с,6.2 л,Южная Корея ,B ,177 км/ч,?,679 000 
"Lada (ВАЗ) Granta, 2021",2021,92 505 км,чёрный,783  / год,механическая,передний,Не требует ремонта,2 владельца,1.6 л,87 л.с.,бензиновый ,АИ-95 ,11.6 с,7.5 л,Россия ,B ,172 км/ч,Euro 5 ,820 000 
"Kia Soul, 2019",2019,43 068 км,чёрный,3 000  / год,автоматическая,передний,Не требует ремонта,2 владельца,2.0 л,150 л.с.,бензиновый ,АИ-95 ,10.2 с,8.0 л,Южная Корея ,B ,186 км/ч,Euro 5 ,2 120 000 
"Mazda 3, 2011",2011,158 000 км,чёрный,3 000  / год,автоматическая,передний,Не требует ремонта,3 или более,2.0 л,150 л.с.,бензиновый ,АИ-95 ,10.6 с,7.6 л,Япония ,C ,196 км/ч,Euro 4 ,920 000 
"Ford Focus, 2017",2017,101 146 км,белый,2 500  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,125 л.с.,бензиновый ,АИ-95 ,10.9 с,5.9 л,США ,C ,192 км/ч,Euro 5 ,1 295 000 
"Lada (ВАЗ) Granta, 2024",2024,3 км,белый,2 120  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,106 л.с.,бензиновый ,АИ-95 ,10.6 с,6.5 л,Россия ,B ,183 км/ч,Euro 5 ,1 220 000 
"Skoda Octavia, 2015",2015,107 394 км,серебристый,3 000  / год,механическая,передний,Не требует ремонта,2 владельца,1.4 л,150 л.с.,бензиновый ,АИ-95 ,8.1 с,5.4 л,Чехия ,C ,219 км/ч,Euro 5 ,1 518 000 
"Volkswagen Tiguan, 2018",2018,113 199 км,белый,2 500  / год,механическая,передний,Не требует ремонта,1 владелец,1.4 л,125 л.с.,бензиновый ,АИ-95 ,10.5 с,6.5 л,Германия ,C ,190 км/ч,Euro 6 ,2 200 000 
"Mazda CX-5, 2017",2017,48 500 км,красный,3 000  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,150 л.с.,бензиновый ,АИ-95 ,10.6 с,7.0 л,Япония ,C ,184 км/ч,?,2 790 000 
"Mercedes-Benz AMG GT 43, 2020",2020,38 749 км,белый,55 050  / год,роботизированная,полный,Не требует ремонта,2 владельца,3.0 л,367 л.с.,бензиновый ,АИ-98 ,4.9 с,9.4 л,Германия ,E ,270 км/ч,Euro 6 ,9 900 000 
"Mercedes-Benz AMG GT 43, 2020",2020,38 749 км,белый,55 050  / год,роботизированная,полный,Не требует ремонта,2 владельца,3.0 л,367 л.с.,бензиновый ,АИ-98 ,4.9 с,9.4 л,Германия ,E ,270 км/ч,Euro 6 ,9 900 000 
"Volkswagen Passat, 2012",2012,210 339 км,коричневый,2 440  / год,механическая,передний,Не требует ремонта,3 или более,1.4 л,122 л.с.,бензиновый ,АИ-95 ,10.3 с,6.3 л,Германия ,D ,203 км/ч,Euro 5 ,930 000 
"Chevrolet Lacetti, 2007",2007,207 500 км,чёрный,2 180  / год,автоматическая,передний,Не требует ремонта,3 или более,1.6 л,109 л.с.,бензиновый ,АИ-95 ,11.5 с,8.1 л,США ,C ,175 км/ч,Euro 4 ,550 000 
"Lada (ВАЗ) Granta, 2018",2018,45 000 км,синий,783  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,87 л.с.,бензиновый ,АИ-95 ,11.8 с,6.8 л,Россия ,B ,171 км/ч,Euro 5 ,790 000 
"Mitsubishi ASX, 2021",2021,7 000 км,серый,3 000  / год,вариатор,полный,Не требует ремонта,1 владелец,2.0 л,150 л.с.,бензиновый ,АИ-95 ,11.7 с,7.7 л,Япония ,C ,191 км/ч,Euro 5 ,2 049 000 
"Skoda Octavia RS, 2014",2014,251 468 км,синий,16 500  / год,механическая,передний,Не требует ремонта,3 или более,2.0 л,220 л.с.,бензиновый ,АИ-95 ,6.8 с,6.2 л,Чехия ,C ,248 км/ч,Euro 6 ,1 930 000 
"Kia K5, 2021",2021,63 559 км,белый,3 000  / год,автоматическая,передний,Не требует ремонта,2 владельца,2.0 л,150 л.с.,бензиновый ,АИ-95 ,10.6 с,9.8 л,Южная Корея ,D ,210 км/ч,Euro 5 ,2 819 000 
"Hyundai Creta, 2020",2020,78 575 км,серый,2 980  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,149 л.с.,бензиновый ,АИ-92 ,11.3 с,8.0 л,Южная Корея ,B ,179 км/ч,Euro 5 ,2 315 000 
"Opel Astra, 2011",2011,231 945 км,белый,2 300  / год,автоматическая,передний,Не требует ремонта,2 владельца,1.6 л,115 л.с.,бензиновый ,АИ-95 ,13.3 с,7.1 л,Германия ,C ,182 км/ч,?,750 000 
"Lada (ВАЗ) Granta Cross, 2020",2020,33 601 км,коричневый,2 120  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,106 л.с.,бензиновый ,АИ-95 ,10.8 с,6.5 л,Россия ,B ,178 км/ч,Euro 5 ,909 990 
"Land Rover Range Rover Sport, 2008",2008,165 000 км,белый,44 850  / год,автоматическая,полный,Не требует ремонта,3 или более,4.4 л,299 л.с.,бензиновый ,АИ-95 ,8.9 с,14.9 л,Великобритания ,J ,209 км/ч,?,1 580 000 
"Suzuki SX4, 2014",2014,70 000 км,белый,2 340  / год,вариатор,передний,Не требует ремонта,1 владелец,1.6 л,117 л.с.,бензиновый ,АИ-95 ,12.4 с,5.5 л,Япония ,B ,170 км/ч,?,1 369 000 
"BMW X6 35i 6-speed, 2009",2009,221 555 км,белый,45 900  / год,автоматическая,полный,Не требует ремонта,3 или более,3.0 л,306 л.с.,бензиновый ,АИ-95 ,6.7 с,12.1 л,Германия ,E ,240 км/ч,Euro 5 ,1 465 000 
"Lada (ВАЗ) Vesta, 2017",2017,98 500 км,серый,2 120  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,106 л.с.,бензиновый ,АИ-92 ,11.2 с,6.9 л,Россия ,B ,175 км/ч,Euro 5 ,990 000 
"Audi A4, 2012",2012,146 517 км,белый,6 800  / год,вариатор,передний,Не требует ремонта,3 или более,1.8 л,170 л.с.,бензиновый ,АИ-95 ,8.3 с,5.8 л,Германия ,D ,225 км/ч,Euro 5 ,1 330 000 
"Kia Ceed, 2013",2013,132 430 км,серебристый,2 580  / год,механическая,передний,Не требует ремонта,3 или более,1.6 л,129 л.с.,бензиновый ,АИ-95 ,10.5 с,6.4 л,Южная Корея ,C ,195 км/ч,Euro 4 ,1 020 000 
"Opel Astra, 2012",2012,133 500 км,чёрный,2 800  / год,автоматическая,передний,Не требует ремонта,3 или более,1.4 л,140 л.с.,бензиновый ,АИ-95 ,10.2 с,6.9 л,Германия ,C ,200 км/ч,?,775 000 
"Nissan Teana, 2012",2012,151 000 км,красный,7 280  / год,вариатор,передний,Не требует ремонта,3 или более,2.5 л,182 л.с.,бензиновый ,АИ-92 ,9.6 с,9.5 л,Япония ,D ,200 км/ч,?,950 000 
"Lada (ВАЗ) Vesta, 2021",2021,86 000 км,белый,2 120  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,106 л.с.,бензиновый ,АИ-92 ,11.2 с,6.9 л,Россия ,B ,175 км/ч,Euro 5 ,999 990 
"Dongfeng 580, 2023",2023,3 270 км,чёрный,2 900  / год,вариатор,передний,Не требует ремонта,1 владелец,1.5 л,145 л.с.,бензиновый ,АИ-95 ,8.1 с,7.6 л,Китай ,D ,180 км/ч,Euro 5 ,2 600 000 
"Toyota Camry, 2019",2019,87 170 км,белый,3 000  / год,автоматическая,передний,Не требует ремонта,1 владелец,2.0 л,150 л.с.,бензиновый ,АИ-95 ,11.0 с,7.1 л,Япония ,D ,210 км/ч,Euro 5 ,2 499 000 
"Lada (ВАЗ) Vesta SW Cross, 2021",2021,52 001 км,синий,2 260  / год,вариатор,передний,Не требует ремонта,1 владелец,1.6 л,113 л.с.,бензиновый ,АИ-92 ,12.2 с,7.4 л,Россия ,B ,170 км/ч,Euro 5 ,1 454 990 
"Toyota RAV4, 2021",2021,32 281 км,чёрный,2 980  / год,вариатор,полный,Не требует ремонта,1 владелец,2.0 л,149 л.с.,бензиновый ,АИ-92 ,11.0 с,6.6 л,Япония ,C ,190 км/ч,Euro 5 ,4 150 000 
"Lifan X60, 2016",2016,122 279 км,серебристый,2 560  / год,механическая,передний,Не требует ремонта,1 владелец,1.8 л,128 л.с.,бензиновый ,АИ-95 ,14.5 с,8.2 л,Китай ,C ,170 км/ч,?,850 000 
"Kia Soul, 2020",2020,47 036 км,синий,2 460  / год,автоматическая,передний,Не требует ремонта,2 владельца,1.6 л,123 л.с.,бензиновый ,АИ-95 ,11.2 с,7.4 л,Южная Корея ,B ,182 км/ч,Euro 5 ,2 099 000 
"Citroen C4, 2014",2014,145 000 км,серебристый,2 400  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,120 л.с.,бензиновый ,АИ-95 ,12.8 с,7.1 л,Франция ,C ,181 км/ч,Euro 5 ,780 000 
"LiXiang L7, 2023",2023,3 414 км,чёрный,67 350  / год,автоматическая,полный,Не требует ремонта,1 владелец,1.5 л,449 л.с.,гибридный ,АИ-95 ,5.3 с,7.6 л,Китай ,E ,180 км/ч,?,6 410 000 
"Hyundai Elantra, 2020",2020,49 900 км,белый,3 000  / год,автоматическая,передний,Не требует ремонта,1 владелец,2.0 л,150 л.с.,бензиновый ,АИ-95 ,9.8 с,7.0 л,Южная Корея ,C ,203 км/ч,Euro 5 ,2 065 000 
"Kia Cerato, 2013",2013,167 522 км,бежевый,2 600  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,130 л.с.,бензиновый ,АИ-95 ,10.1 с,6.5 л,Южная Корея ,C ,200 км/ч,Euro 5 ,1 100 000 
"Hyundai Tucson, 2018",2018,149 028 км,белый,3 000  / год,механическая,полный,Не требует ремонта,1 владелец,2.0 л,150 л.с.,бензиновый ,АИ-95 ,11.3 с,8.2 л,Южная Корея ,C ,184 км/ч,Euro 5 ,2 149 000 
"Hyundai Creta, 2017",2017,79 175 км,белый,2 460  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,123 л.с.,бензиновый ,АИ-95 ,12.1 с,7.1 л,Южная Корея ,B ,169 км/ч,Euro 6 ,1 795 000 
"Mercedes-Benz G-Класс 350 d, 2020",2020,21 913 км,чёрный,18 675  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.9 л,249 л.с.,дизельный ,ДТ ,7.4 с,9.8 л,Германия ,J ,199 км/ч,Euro 6 ,16 600 000 
"Toyota Hilux, 2021",2021,55 647 км,белый,?,автоматическая,полный,Не требует ремонта,1 владелец,2.8 л,200 л.с.,дизельный ,ДТ ,10.0 с,8.0 л,Япония ,J ,175 км/ч,Euro 5 ,5 090 000 
"Kia K5, 2011",2011,140 268 км,серый,2 880  / год,автоматическая,передний,Не требует ремонта,3 или более,2.0 л,144 л.с.,ГБО ,АИ-95 ,?,10.0 л,Южная Корея ,D ,?,?,1 800 000 
"Chery Tiggo 4, 2020",2020,52 342 км,белый,2 260  / год,вариатор,передний,Не требует ремонта,1 владелец,1.5 л,113 л.с.,бензиновый ,АИ-92 ,14.6 с,7.5 л,Китай ,B ,165 км/ч,Euro 5 ,1 242 000 
"Hyundai Tucson, 2020",2020,56 977 км,чёрный,3 000  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,150 л.с.,бензиновый ,АИ-95 ,11.8 с,8.3 л,Южная Корея ,C ,180 км/ч,Euro 5 ,3 049 000 
"Lada (ВАЗ) Niva, 2022",2022,43 000 км,зелёный,720  / год,механическая,полный,Не требует ремонта,1 владелец,1.7 л,80 л.с.,бензиновый ,АИ-95 ,19.0 с,10.2 л,Россия ,J ,140 км/ч,Euro 5 ,1 150 000 
"Tesla Model X P100D, 2018",2018,60 865 км,чёрный,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,895/1795 л,762 л.с.,Электро ,?,2.8 с,?,США ,E ,261 км/ч,?,5 270 000 
"Renault Logan, 2019",2019,52 300 км,белый,2 040  / год,автоматическая,передний,Не требует ремонта,3 или более,1.6 л,102 л.с.,бензиновый ,АИ-95 ,11.7 с,8.4 л,Франция ,B ,171 км/ч,Euro 5 ,895 000 
"Skoda Rapid, 2021",2021,60 000 км,бежевый,2 200  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,110 л.с.,бензиновый ,АИ-95 ,10.7 с,6.0 л,Чехия ,B ,195 км/ч,Euro 5 ,1 599 000 
"Toyota Sienna, 2004",2004,96 024 км,серебристый,17 475  / год,автоматическая,полный,Не требует ремонта,3 или более,3.3 л,233 л.с.,бензиновый ,АИ-92 ,8.7 с,12.4/8.7/- л/100 км,Япония ,M ,178 км/ч,?,1 590 000 
"EXEED TXL, 2021",2021,28 782 км,серый,7 440  / год,роботизированная,полный,Не требует ремонта,2 владельца,1.6 л,186 л.с.,бензиновый ,АИ-92 ,9.8 с,7.8 л,Китай ,D ,185 км/ч,Euro 5 ,2 350 000 
"Kia Rio, 2018",2018,88 971 км,белый,900  / год,механическая,передний,Не требует ремонта,2 владельца,1.4 л,100 л.с.,бензиновый ,АИ-92 ,12.2 с,5.7 л,Южная Корея ,B ,185 км/ч,Euro 5 ,1 150 000 
"Toyota RAV4, 2017",2017,71 500 км,красный,2 920  / год,вариатор,передний,Не требует ремонта,2 владельца,2.0 л,146 л.с.,бензиновый ,АИ-95 ,11.1 с,7.4 л,Япония ,C ,180 км/ч,Euro 5 ,2 150 000 
"Chevrolet Captiva, 2008",2008,225 719 км,серебристый,2 720  / год,механическая,полный,Не требует ремонта,2 владельца,2.4 л,136 л.с.,бензиновый ,АИ-95 ,11.5 с,9.3 л,США ,D ,183 км/ч,?,1 068 000 
"Geely Coolray, 2021",2021,54 500 км,серый,3 000  / год,роботизированная,передний,Не требует ремонта,1 владелец,1.5 л,150 л.с.,бензиновый ,АИ-92 ,8.4 с,6.4 л,Китай ,B ,190 км/ч,Euro 5 ,1 930 000 
"Lada (ВАЗ) Granta, 2021",2021,78 600 км,серый,882  / год,автоматическая,передний,Не требует ремонта,2 владельца,1.6 л,98 л.с.,бензиновый ,АИ-95 ,13.1 с,7.2 л,Россия ,B ,176 км/ч,Euro 5 ,969 990 
