model auto,year of production,mileage,exterior colour,tax,transmission,wheel drive,number of owners,engine volume,engine power,engine type,fuel type,acceleration,MPG,country of the car brand,class,top speed,environmental class,price
Volkswagen,2012,210339.0,коричневый,2440.0,механическая,передний,3 или более,1.4,122.0,бензиновый ,АИ-95 ,10.3,6.3,Германия ,D ,203.0,Euro 5 ,930000.0
Chevrolet,2007,207500.0,чёрный,2180.0,автоматическая,передний,3 или более,1.6,109.0,бензиновый ,АИ-95 ,11.5,8.1,США ,C ,175.0,Euro 4 ,550000.0
Lada,2018,45000.0,синий,783.0,механическая,передний,1 владелец,1.6,87.0,бензиновый ,АИ-95 ,11.8,6.8,Россия ,B ,171.0,Euro 5 ,790000.0
Mitsubishi,2021,7000.0,серый,3000.0,вариатор,полный,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,11.7,7.7,Япония ,C ,191.0,Euro 5 ,2049000.0
Skoda,2014,251468.0,синий,16500.0,механическая,передний,3 или более,2.0,220.0,бензиновый ,АИ-95 ,6.8,6.2,Чехия ,C ,248.0,Euro 6 ,1930000.0
Kia,2021,63559.0,белый,3000.0,автоматическая,передний,2 владельца,2.0,150.0,бензиновый ,АИ-95 ,10.6,9.8,Южная Корея ,D ,210.0,Euro 5 ,2819000.0
Hyundai,2020,78575.0,серый,2980.0,автоматическая,полный,1 владелец,2.0,149.0,бензиновый ,АИ-92 ,11.3,8.0,Южная Корея ,B ,179.0,Euro 5 ,2315000.0
Opel,2011,231945.0,белый,2300.0,автоматическая,передний,2 владельца,1.6,115.0,бензиновый ,АИ-95 ,13.3,7.1,Германия ,C ,182.0,Euro 0,750000.0
Lada,2020,33601.0,коричневый,2120.0,механическая,передний,1 владелец,1.6,106.0,бензиновый ,АИ-95 ,10.8,6.5,Россия ,B ,178.0,Euro 5 ,909990.0
Land,2008,165000.0,белый,44850.0,автоматическая,полный,3 или более,4.4,299.0,бензиновый ,АИ-95 ,8.9,14.9,Великобритания ,J ,209.0,Euro 0,1580000.0
Suzuki,2014,70000.0,белый,2340.0,вариатор,передний,1 владелец,1.6,117.0,бензиновый ,АИ-95 ,12.4,5.5,Япония ,B ,170.0,Euro 0,1369000.0
BMW,2009,221555.0,белый,45900.0,автоматическая,полный,3 или более,3.0,306.0,бензиновый ,АИ-95 ,6.7,12.1,Германия ,E ,240.0,Euro 5 ,1465000.0
Lada,2017,98500.0,серый,2120.0,механическая,передний,1 владелец,1.6,106.0,бензиновый ,АИ-92 ,11.2,6.9,Россия ,B ,175.0,Euro 5 ,990000.0
Audi,2012,146517.0,белый,6800.0,вариатор,передний,3 или более,1.8,170.0,бензиновый ,АИ-95 ,8.3,5.8,Германия ,D ,225.0,Euro 5 ,1330000.0
Kia,2013,132430.0,серебристый,2580.0,механическая,передний,3 или более,1.6,129.0,бензиновый ,АИ-95 ,10.5,6.4,Южная Корея ,C ,195.0,Euro 4 ,1020000.0
Opel,2012,133500.0,чёрный,2800.0,автоматическая,передний,3 или более,1.4,140.0,бензиновый ,АИ-95 ,10.2,6.9,Германия ,C ,200.0,Euro 0,775000.0
Nissan,2012,151000.0,красный,7280.0,вариатор,передний,3 или более,2.5,182.0,бензиновый ,АИ-92 ,9.6,9.5,Япония ,D ,200.0,Euro 0,950000.0
Lada,2021,86000.0,белый,2120.0,механическая,передний,1 владелец,1.6,106.0,бензиновый ,АИ-92 ,11.2,6.9,Россия ,B ,175.0,Euro 5 ,999990.0
Dongfeng,2023,3270.0,чёрный,2900.0,вариатор,передний,1 владелец,1.5,145.0,бензиновый ,АИ-95 ,8.1,7.6,Китай ,D ,180.0,Euro 5 ,2600000.0
Toyota,2019,87170.0,белый,3000.0,автоматическая,передний,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,11.0,7.1,Япония ,D ,210.0,Euro 5 ,2499000.0
Lada,2021,52001.0,синий,2260.0,вариатор,передний,1 владелец,1.6,113.0,бензиновый ,АИ-92 ,12.2,7.4,Россия ,B ,170.0,Euro 5 ,1454990.0
Toyota,2021,32281.0,чёрный,2980.0,вариатор,полный,1 владелец,2.0,149.0,бензиновый ,АИ-92 ,11.0,6.6,Япония ,C ,190.0,Euro 5 ,4150000.0
Lifan,2016,122279.0,серебристый,2560.0,механическая,передний,1 владелец,1.8,128.0,бензиновый ,АИ-95 ,14.5,8.2,Китай ,C ,170.0,Euro 0,850000.0
Kia,2020,47036.0,синий,2460.0,автоматическая,передний,2 владельца,1.6,123.0,бензиновый ,АИ-95 ,11.2,7.4,Южная Корея ,B ,182.0,Euro 5 ,2099000.0
Citroen,2014,145000.0,серебристый,2400.0,автоматическая,передний,1 владелец,1.6,120.0,бензиновый ,АИ-95 ,12.8,7.1,Франция ,C ,181.0,Euro 5 ,780000.0
LiXiang,2023,3414.0,чёрный,67350.0,автоматическая,полный,1 владелец,1.5,449.0,гибридный ,АИ-95 ,5.3,7.6,Китай ,E ,180.0,Euro 0,6410000.0
Hyundai,2020,49900.0,белый,3000.0,автоматическая,передний,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,9.8,7.0,Южная Корея ,C ,203.0,Euro 5 ,2065000.0
Kia,2013,167522.0,бежевый,2600.0,механическая,передний,1 владелец,1.6,130.0,бензиновый ,АИ-95 ,10.1,6.5,Южная Корея ,C ,200.0,Euro 5 ,1100000.0
Hyundai,2018,149028.0,белый,3000.0,механическая,полный,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,11.3,8.2,Южная Корея ,C ,184.0,Euro 5 ,2149000.0
Hyundai,2017,79175.0,белый,2460.0,автоматическая,передний,1 владелец,1.6,123.0,бензиновый ,АИ-95 ,12.1,7.1,Южная Корея ,B ,169.0,Euro 6 ,1795000.0
Mercedes-Benz,2020,21913.0,чёрный,18675.0,автоматическая,полный,1 владелец,2.9,249.0,дизельный ,ДТ ,7.4,9.8,Германия ,J ,199.0,Euro 6 ,16600000.0
Chery,2020,52342.0,белый,2260.0,вариатор,передний,1 владелец,1.5,113.0,бензиновый ,АИ-92 ,14.6,7.5,Китай ,B ,165.0,Euro 5 ,1242000.0
Hyundai,2020,56977.0,чёрный,3000.0,автоматическая,полный,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,11.8,8.3,Южная Корея ,C ,180.0,Euro 5 ,3049000.0
Lada,2022,43000.0,зелёный,720.0,механическая,полный,1 владелец,1.7,80.0,бензиновый ,АИ-95 ,19.0,10.2,Россия ,J ,140.0,Euro 5 ,1150000.0
Renault,2019,52300.0,белый,2040.0,автоматическая,передний,3 или более,1.6,102.0,бензиновый ,АИ-95 ,11.7,8.4,Франция ,B ,171.0,Euro 5 ,895000.0
Skoda,2021,60000.0,бежевый,2200.0,механическая,передний,1 владелец,1.6,110.0,бензиновый ,АИ-95 ,10.7,6.0,Чехия ,B ,195.0,Euro 5 ,1599000.0
Toyota,2004,96024.0,серебристый,17475.0,автоматическая,полный,3 или более,3.3,233.0,бензиновый ,АИ-92 ,8.7,12.4,Япония ,M ,178.0,Euro 0,1590000.0
EXEED,2021,28782.0,серый,7440.0,роботизированная,полный,2 владельца,1.6,186.0,бензиновый ,АИ-92 ,9.8,7.8,Китай ,D ,185.0,Euro 5 ,2350000.0
Kia,2018,88971.0,белый,900.0,механическая,передний,2 владельца,1.4,100.0,бензиновый ,АИ-92 ,12.2,5.7,Южная Корея ,B ,185.0,Euro 5 ,1150000.0
Toyota,2017,71500.0,красный,2920.0,вариатор,передний,2 владельца,2.0,146.0,бензиновый ,АИ-95 ,11.1,7.4,Япония ,C ,180.0,Euro 5 ,2150000.0
Chevrolet,2008,225719.0,серебристый,2720.0,механическая,полный,2 владельца,2.4,136.0,бензиновый ,АИ-95 ,11.5,9.3,США ,D ,183.0,Euro 0,1068000.0
Geely,2021,54500.0,серый,3000.0,роботизированная,передний,1 владелец,1.5,150.0,бензиновый ,АИ-92 ,8.4,6.4,Китай ,B ,190.0,Euro 5 ,1930000.0
Lada,2021,78600.0,серый,882.0,автоматическая,передний,2 владельца,1.6,98.0,бензиновый ,АИ-95 ,13.1,7.2,Россия ,B ,176.0,Euro 5 ,969990.0
Honda,2012,139247.0,красный,2840.0,автоматическая,передний,3 или более,1.8,142.0,бензиновый ,АИ-95 ,10.9,6.3,Япония ,C ,210.0,Euro 5 ,1438000.0
Lada,2014,99999.0,синий,2120.0,механическая,передний,1 владелец,1.6,106.0,бензиновый ,АИ-95 ,11.0,6.7,Россия ,B ,181.0,Euro 4 ,450000.0
Kia,2018,142309.0,серый,3000.0,автоматическая,полный,2 владельца,2.0,150.0,бензиновый ,АИ-95 ,11.6,8.3,Южная Корея ,C ,180.0,Euro 5 ,2300000.0
Kia,2010,124150.0,серый,873.0,автоматическая,передний,3 или более,1.4,97.0,бензиновый ,АИ-95 ,14.5,6.9,Южная Корея ,B ,168.0,Euro 0,740000.0
Hyundai,2010,130610.0,белый,3000.0,автоматическая,полный,3 или более,2.0,150.0,бензиновый ,АИ-95 ,11.3,8.2,Южная Корея ,C ,176.0,Euro 0,1300000.0
Mercedes-Benz,2011,243622.0,чёрный,17325.0,автоматическая,полный,2 владельца,3.0,231.0,дизельный ,ДТ ,7.3,8.0,Германия ,D ,225.0,Euro 4 ,1540000.0
Haval,2019,139000.0,чёрный,7600.0,роботизированная,полный,2 владельца,2.0,190.0,бензиновый ,АИ-95 ,9.0,8.8,Китай ,C ,195.0,Euro 5 ,2100000.0
Haval,2019,27300.0,синий,7600.0,роботизированная,передний,2 владельца,2.0,190.0,бензиновый ,АИ-95 ,9.0,8.8,Китай ,C ,195.0,Euro 5 ,1950000.0
Audi,2008,210000.0,белый,48900.0,автоматическая,полный,3 или более,4.1,326.0,дизельный ,ДТ ,6.4,11.1,Германия ,E ,236.0,Euro 0,1539000.0
Hyundai,2005,212723.0,серый,2920.0,механическая,полный,3 или более,2.4,146.0,бензиновый ,АИ-95 ,11.4,9.8,Южная Корея ,D ,173.0,Euro 0,750000.0
Hyundai,2016,125500.0,белый,3000.0,автоматическая,полный,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,11.8,8.3,Южная Корея ,C ,180.0,Euro 5 ,2160000.0
Audi,2013,179891.0,белый,16875.0,автоматическая,полный,3 или более,2.0,225.0,бензиновый ,АИ-95 ,7.1,7.9,Германия ,D ,222.0,Euro 5 ,1899000.0
Lada,2018,98000.0,белый,783.0,механическая,передний,1 владелец,1.6,87.0,бензиновый ,АИ-95 ,11.6,7.5,Россия ,B ,172.0,Euro 5 ,599000.0
Kia,2012,137311.0,чёрный,2460.0,автоматическая,передний,3 или более,1.6,123.0,бензиновый ,АИ-92 ,11.2,6.5,Южная Корея ,B ,180.0,Euro 4 ,899000.0
Hyundai,2017,39707.0,белый,3000.0,автоматическая,передний,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,11.1,7.8,Южная Корея ,D ,205.0,Euro 5 ,2049000.0
Lada,2022,44092.0,серый,2120.0,механическая,передний,1 владелец,1.6,106.0,бензиновый ,АИ-92 ,11.2,6.9,Россия ,B ,175.0,Euro 5 ,1299990.0
Nissan,2005,193400.0,чёрный,882.0,механическая,передний,3 или более,1.5,98.0,бензиновый ,АИ-95 ,13.1,6.6,Япония ,C ,177.0,Euro 0,410000.0
Renault,2017,82050.0,чёрный,2280.0,вариатор,передний,1 владелец,1.6,114.0,бензиновый ,АИ-95 ,12.9,6.9,Франция ,B ,166.0,Euro 5 ,1450000.0
Geely,2019,92000.0,белый,7360.0,автоматическая,полный,2 владельца,1.8,184.0,бензиновый ,АИ-95 ,10.7,9.0,Китай ,C ,195.0,Euro 5 ,1870000.0
Hyundai,2019,84000.0,серый,2460.0,механическая,передний,1 владелец,1.6,123.0,бензиновый ,АИ-92 ,10.3,6.0,Южная Корея ,B ,193.0,Euro 5 ,1330000.0
Chevrolet,2008,225719.0,серебристый,2720.0,механическая,полный,2 владельца,2.4,136.0,бензиновый ,АИ-95 ,11.5,9.3,США ,D ,183.0,Euro 0,1068000.0
Lada,2021,78600.0,серый,882.0,автоматическая,передний,2 владельца,1.6,98.0,бензиновый ,АИ-95 ,13.1,7.2,Россия ,B ,176.0,Euro 5 ,969990.0
Kia,2010,124150.0,серый,873.0,автоматическая,передний,3 или более,1.4,97.0,бензиновый ,АИ-95 ,14.5,6.9,Южная Корея ,B ,168.0,Euro 0,740000.0
Lada,2019,57360.0,коричневый,2120.0,механическая,передний,1 владелец,1.6,106.0,бензиновый ,АИ-95 ,11.4,7.2,Россия ,B ,176.0,Euro 0,1099000.0
Skoda,2021,60000.0,бежевый,2200.0,механическая,передний,1 владелец,1.6,110.0,бензиновый ,АИ-95 ,10.7,6.0,Чехия ,B ,195.0,Euro 5 ,1599000.0
Mercedes-Benz,2011,243622.0,чёрный,17325.0,автоматическая,полный,2 владельца,3.0,231.0,дизельный ,ДТ ,7.3,8.0,Германия ,D ,225.0,Euro 4 ,1540000.0
Haval,2019,139000.0,чёрный,7600.0,роботизированная,полный,2 владельца,2.0,190.0,бензиновый ,АИ-95 ,9.0,8.8,Китай ,C ,195.0,Euro 5 ,2100000.0
Kia,2018,142309.0,серый,3000.0,автоматическая,полный,2 владельца,2.0,150.0,бензиновый ,АИ-95 ,11.6,8.3,Южная Корея ,C ,180.0,Euro 5 ,2300000.0
Honda,2012,139247.0,красный,2840.0,автоматическая,передний,3 или более,1.8,142.0,бензиновый ,АИ-95 ,10.9,6.3,Япония ,C ,210.0,Euro 5 ,1438000.0
Kia,2016,97180.0,чёрный,3000.0,автоматическая,полный,3 или более,2.0,150.0,бензиновый ,АИ-95 ,11.6,8.3,Южная Корея ,C ,180.0,Euro 5 ,2189818.0
Audi,2014,83383.0,красный,16875.0,роботизированная,полный,3 или более,2.0,225.0,бензиновый ,АИ-95 ,6.4,6.7,Германия ,D ,250.0,Euro 6 ,1299000.0
Hyundai,2016,125500.0,белый,3000.0,автоматическая,полный,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,11.8,8.3,Южная Корея ,C ,180.0,Euro 5 ,2160000.0
Audi,2008,210000.0,белый,48900.0,автоматическая,полный,3 или более,4.1,326.0,дизельный ,ДТ ,6.4,11.1,Германия ,E ,236.0,Euro 0,1539000.0
Hyundai,2005,212723.0,серый,2920.0,механическая,полный,3 или более,2.4,146.0,бензиновый ,АИ-95 ,11.4,9.8,Южная Корея ,D ,173.0,Euro 0,750000.0
EXEED,2021,28782.0,серый,7440.0,роботизированная,полный,2 владельца,1.6,186.0,бензиновый ,АИ-92 ,9.8,7.8,Китай ,D ,185.0,Euro 5 ,2350000.0
Renault,2017,82050.0,чёрный,2280.0,вариатор,передний,1 владелец,1.6,114.0,бензиновый ,АИ-95 ,12.9,6.9,Франция ,B ,166.0,Euro 5 ,1450000.0
Lada,2017,95000.0,белый,2120.0,механическая,передний,1 владелец,1.6,106.0,бензиновый ,АИ-95 ,10.9,6.7,Россия ,B ,179.0,Euro 0,640000.0
Nissan,2005,193400.0,чёрный,882.0,механическая,передний,3 или более,1.5,98.0,бензиновый ,АИ-95 ,13.1,6.6,Япония ,C ,177.0,Euro 0,410000.0
Renault,2019,59700.0,красный,3000.0,вариатор,передний,1 владелец,1.3,150.0,бензиновый ,АИ-92 ,10.2,7.1,Франция ,C ,191.0,Euro 5 ,1720000.0
Lada,2022,44092.0,серый,2120.0,механическая,передний,1 владелец,1.6,106.0,бензиновый ,АИ-92 ,11.2,6.9,Россия ,B ,175.0,Euro 5 ,1299990.0
Hyundai,2019,84000.0,серый,2460.0,механическая,передний,1 владелец,1.6,123.0,бензиновый ,АИ-92 ,10.3,6.0,Южная Корея ,B ,193.0,Euro 5 ,1330000.0
Ford,2017,100001.0,белый,3000.0,автоматическая,передний,1 владелец,2.5,150.0,бензиновый ,АИ-95 ,10.7,8.1,США ,C ,185.0,Euro 5 ,1890000.0
BMW,2017,130000.0,белый,7600.0,автоматическая,задний,2 владельца,2.0,190.0,дизельный ,ДТ ,7.2,4.4,Германия ,D ,230.0,Euro 6 ,2799000.0
Land,2018,104000.0,чёрный,18675.0,автоматическая,полный,2 владельца,3.0,249.0,дизельный ,ДТ ,8.1,7.2,Великобритания ,J ,209.0,Euro 6 ,4500000.0
Ford,2012,124000.0,чёрный,3000.0,роботизированная,передний,3 или более,2.0,150.0,бензиновый ,АИ-95 ,9.4,6.4,США ,C ,202.0,Euro 5 ,950000.0
Lada,2015,122885.0,чёрный,2360.0,механическая,передний,3 или более,1.6,118.0,бензиновый ,АИ-95 ,9.5,7.8,Россия ,B ,197.0,Euro 0,845000.0
Kia,2018,88971.0,белый,900.0,механическая,передний,2 владельца,1.4,100.0,бензиновый ,АИ-92 ,12.2,5.7,Южная Корея ,B ,185.0,Euro 5 ,1150000.0
Chery,2015,52000.0,белый,2780.0,механическая,передний,2 владельца,2.0,139.0,бензиновый ,АИ-95 ,12.8,8.2,Китай ,C ,175.0,Euro 4 ,1300000.0
Kia,2020,14760.0,серый,2460.0,автоматическая,передний,1 владелец,1.6,123.0,бензиновый ,АИ-92 ,11.2,6.6,Южная Корея ,B ,192.0,Euro 5 ,1740000.0
Toyota,2017,71500.0,красный,2920.0,вариатор,передний,2 владельца,2.0,146.0,бензиновый ,АИ-95 ,11.1,7.4,Япония ,C ,180.0,Euro 5 ,2150000.0
Lada,2019,62251.0,белый,882.0,автоматическая,передний,1 владелец,1.6,98.0,бензиновый ,АИ-95 ,13.3,7.2,Россия ,B ,174.0,Euro 5 ,1029000.0
Audi,2013,179891.0,белый,16875.0,автоматическая,полный,3 или более,2.0,225.0,бензиновый ,АИ-95 ,7.1,7.9,Германия ,D ,222.0,Euro 5 ,1899000.0
Toyota,2004,96024.0,серебристый,17475.0,автоматическая,полный,3 или более,3.3,233.0,бензиновый ,АИ-92 ,8.7,12.4,Япония ,M ,178.0,Euro 0,1590000.0
Volkswagen,2010,190389.0,белый,6800.0,автоматическая,полный,3 или более,2.0,170.0,бензиновый ,АИ-95 ,9.9,9.9,Германия ,C ,197.0,Euro 0,1250000.0
Lada,2024,25.0,белый,810.0,механическая,передний,1 владелец,1.6,90.0,бензиновый ,АИ-95 ,11.2,6.8,Россия ,B ,179.0,Euro 5 ,1170000.0
Lexus,2023,25.0,серый,18675.0,автоматическая,полный,1 владелец,2.4,249.0,бензиновый ,АИ-95 ,7.6,9.8,Япония ,E ,200.0,Euro 0,9800000.0
Kia,2016,161000.0,серый,2460.0,механическая,передний,2 владельца,1.6,123.0,бензиновый ,АИ-95 ,10.3,5.9,Южная Корея ,B ,190.0,Euro 4 ,930000.0
Lada,2023,8400.0,белый,2120.0,механическая,передний,1 владелец,1.6,106.0,бензиновый ,АИ-92 ,11.3,7.3,Россия ,B ,182.0,Euro 5 ,1410000.0
Mitsubishi,2012,171208.0,белый,2800.0,вариатор,передний,2 владельца,1.8,140.0,бензиновый ,АИ-95 ,13.1,7.6,Япония ,C ,186.0,Euro 4 ,1275000.0
Opel,2013,124000.0,белый,7200.0,автоматическая,передний,2 владельца,1.6,180.0,бензиновый ,АИ-95 ,9.2,7.2,Германия ,C ,213.0,Euro 5 ,849000.0
Toyota,2009,281100.0,серебристый,17625.0,автоматическая,полный,3 или более,4.5,235.0,дизельный ,ДТ ,9.5,10.2,Япония ,J ,210.0,Euro 0,2770000.0
Chevrolet,2008,225719.0,серебристый,2720.0,механическая,полный,2 владельца,2.4,136.0,бензиновый ,АИ-95 ,11.5,9.3,США ,D ,183.0,Euro 0,1068000.0
Lada,2022,44092.0,серый,2120.0,механическая,передний,1 владелец,1.6,106.0,бензиновый ,АИ-92 ,11.2,6.9,Россия ,B ,175.0,Euro 5 ,1299990.0
Hyundai,2019,84000.0,серый,2460.0,механическая,передний,1 владелец,1.6,123.0,бензиновый ,АИ-92 ,10.3,6.0,Южная Корея ,B ,193.0,Euro 5 ,1330000.0
BMW,2017,130000.0,белый,7600.0,автоматическая,задний,2 владельца,2.0,190.0,дизельный ,ДТ ,7.2,4.4,Германия ,D ,230.0,Euro 6 ,2799000.0
Land,2018,104000.0,чёрный,18675.0,автоматическая,полный,2 владельца,3.0,249.0,дизельный ,ДТ ,8.1,7.2,Великобритания ,J ,209.0,Euro 6 ,4500000.0
Lada,2015,122885.0,чёрный,2360.0,механическая,передний,3 или более,1.6,118.0,бензиновый ,АИ-95 ,9.5,7.8,Россия ,B ,197.0,Euro 0,845000.0
Kia,2020,14760.0,серый,2460.0,автоматическая,передний,1 владелец,1.6,123.0,бензиновый ,АИ-92 ,11.2,6.6,Южная Корея ,B ,192.0,Euro 5 ,1740000.0
Toyota,2017,71500.0,красный,2920.0,вариатор,передний,2 владельца,2.0,146.0,бензиновый ,АИ-95 ,11.1,7.4,Япония ,C ,180.0,Euro 5 ,2150000.0
Kia,2012,137311.0,чёрный,2460.0,автоматическая,передний,3 или более,1.6,123.0,бензиновый ,АИ-92 ,11.2,6.5,Южная Корея ,B ,180.0,Euro 4 ,899000.0
Lada,2023,22.0,белый,810.0,механическая,передний,1 владелец,1.6,90.0,бензиновый ,АИ-95 ,11.2,6.8,Россия ,B ,179.0,Euro 5 ,1100000.0
Mercedes-Benz,2021,56308.0,синий,7880.0,автоматическая,полный,1 владелец,2.0,197.0,бензиновый ,АИ-95 ,7.6,7.1,Германия ,E ,232.0,Euro 6 ,5899000.0
Renault,2012,220000.0,белый,2120.0,механическая,передний,3 или более,1.6,106.0,бензиновый ,АИ-95 ,11.7,6.7,Франция ,C ,183.0,Euro 4 ,535000.0
Toyota,2018,46582.0,чёрный,2920.0,вариатор,полный,2 владельца,2.0,146.0,бензиновый ,АИ-95 ,11.3,7.5,Япония ,C ,180.0,Euro 5 ,2948000.0
Hyundai,2019,47230.0,серый,2420.0,механическая,полный,1 владелец,1.6,121.0,бензиновый ,АИ-95 ,12.9,7.4,Южная Корея ,B ,167.0,Euro 5 ,1730000.0
Renault,2021,48405.0,белый,2280.0,вариатор,передний,2 владельца,1.6,114.0,бензиновый ,АИ-95 ,15.2,6.9,Франция ,C ,172.0,Euro 5 ,1849000.0
Volkswagen,2021,78000.0,белый,2200.0,автоматическая,передний,3 или более,1.6,110.0,бензиновый ,АИ-95 ,11.8,6.6,Германия ,B ,190.0,Euro 5 ,1589990.0
Lada,2015,180000.0,коричневый,783.0,механическая,передний,3 или более,1.6,87.0,бензиновый ,АИ-95 ,12.4,7.0,Россия ,B ,167.0,Euro 4 ,330000.0
Lada,2022,43000.0,зелёный,720.0,механическая,полный,1 владелец,1.7,80.0,бензиновый ,АИ-95 ,19.0,10.2,Россия ,J ,140.0,Euro 5 ,1150000.0
Lada,2017,89132.0,белый,2440.0,роботизированная,передний,3 или более,1.8,122.0,бензиновый ,АИ-92 ,10.9,6.8,Россия ,B ,186.0,Euro 0,850000.0
SsangYong,2011,176924.0,серебристый,6520.0,автоматическая,полный,3 или более,2.7,163.0,дизельный ,ДТ ,14.4,9.8,Южная Корея ,J ,170.0,Euro 0,1200000.0
Lada,2023,10.0,белый,2120.0,механическая,передний,1 владелец,1.6,106.0,бензиновый ,АИ-95 ,10.8,6.5,Россия ,B ,178.0,Euro 5 ,1230000.0
Lada,2018,142047.0,бежевый,2440.0,роботизированная,передний,2 владельца,1.8,122.0,бензиновый ,АИ-92 ,13.3,7.5,Россия ,B ,181.0,Euro 5 ,1220000.0
Ford,2007,175000.0,синий,2900.0,автоматическая,передний,3 или более,2.0,145.0,бензиновый ,АИ-95 ,11.2,8.0,США ,M ,192.0,Euro 0,730000.0
Lada,2022,35001.0,серебристый,810.0,механическая,передний,1 владелец,1.6,90.0,бензиновый ,АИ-95 ,11.2,6.8,Россия ,B ,179.0,Euro 5 ,795000.0
Chevrolet,2014,183050.0,белый,2800.0,автоматическая,передний,2 владельца,1.4,140.0,бензиновый ,АИ-95 ,10.3,5.7,США ,C ,200.0,Euro 5 ,1099000.0
Volkswagen,2014,199520.0,белый,2100.0,автоматическая,передний,2 владельца,1.6,105.0,бензиновый ,АИ-95 ,12.5,7.0,Германия ,C ,177.0,Euro 5 ,1199000.0
Chery,2021,35000.0,синий,2940.0,вариатор,передний,1 владелец,1.5,147.0,бензиновый ,АИ-92 ,9.8,8.2,Китай ,C ,186.0,Euro 6 ,1899999.0
Hyundai,2008,195000.0,серый,2040.0,механическая,передний,3 или более,1.5,102.0,бензиновый ,АИ-92 ,10.5,7.5,Южная Корея ,B ,181.0,Euro 3 ,410000.0
Lada,2024,50.0,серый,2120.0,механическая,передний,1 владелец,1.6,106.0,бензиновый ,АИ-95 ,10.5,6.5,Россия ,B ,184.0,Euro 5 ,1079999.0
Lada,2022,27000.0,серый,810.0,механическая,передний,1 владелец,1.6,90.0,бензиновый ,АИ-95 ,11.2,6.8,Россия ,B ,179.0,Euro 2 ,1050000.0
Kia,2016,86000.0,серебристый,3000.0,автоматическая,передний,2 владельца,2.0,150.0,бензиновый ,АИ-95 ,10.7,7.8,Южная Корея ,D ,202.0,Euro 0,1975000.0
Toyota,2005,312250.0,серебристый,2200.0,механическая,передний,3 или более,1.6,110.0,бензиновый ,АИ-95 ,10.2,7.0,Япония ,C ,190.0,Euro 0,509990.0
Mercedes-Benz,2014,142000.0,белый,49950.0,автоматическая,полный,3 или более,3.0,333.0,бензиновый ,АИ-95 ,6.7,9.6,Германия ,F ,240.0,Euro 5 ,3250000.0
Volkswagen,2011,105500.0,чёрный,2100.0,механическая,передний,3 или более,1.6,105.0,бензиновый ,АИ-95 ,10.5,6.5,Германия ,B ,190.0,Euro 4 ,625000.0
Kia,2019,69544.0,серый,2800.0,роботизированная,передний,1 владелец,1.4,140.0,бензиновый ,АИ-95 ,9.2,6.1,Южная Корея ,C ,205.0,Euro 6 ,1940000.0
Opel,2014,95325.0,белый,2300.0,автоматическая,передний,2 владельца,1.6,115.0,бензиновый ,АИ-95 ,13.3,7.1,Германия ,C ,182.0,Euro 5 ,1149000.0
Lada,2020,23665.0,красный,882.0,автоматическая,передний,1 владелец,1.6,98.0,бензиновый ,АИ-95 ,13.1,7.2,Россия ,B ,176.0,Euro 5 ,1095000.0
Lada,2020,46948.0,белый,2120.0,механическая,передний,1 владелец,1.6,106.0,бензиновый ,АИ-95 ,10.5,6.5,Россия ,B ,184.0,Euro 5 ,865000.0
Mazda,2011,146845.0,синий,2100.0,механическая,передний,2 владельца,1.6,105.0,бензиновый ,АИ-95 ,12.1,6.5,Япония ,C ,188.0,Euro 4 ,870000.0
Volkswagen,2013,153000.0,серый,2100.0,автоматическая,передний,3 или более,1.6,105.0,бензиновый ,АИ-95 ,12.5,7.0,Германия ,C ,177.0,Euro 5 ,1150000.0
Lada,2020,53500.0,серебристый,2120.0,механическая,передний,1 владелец,1.6,106.0,бензиновый ,АИ-95 ,10.6,6.5,Россия ,B ,183.0,Euro 5 ,889990.0
Nissan,2019,99200.0,чёрный,2860.0,автоматическая,полный,2 владельца,2.0,143.0,бензиновый ,АИ-95 ,11.5,8.7,Япония ,B ,174.0,Euro 5 ,1650000.0
Kia,2020,28000.0,белый,3000.0,автоматическая,передний,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,11.1,7.9,Южная Корея ,C ,181.0,Euro 5 ,2470000.0
Skoda,2014,204686.0,белый,2100.0,механическая,передний,3 или более,1.2,105.0,бензиновый ,АИ-95 ,10.3,5.2,Чехия ,C ,196.0,Euro 5 ,1010000.0
Lada,2009,200000.0,серебристый,882.0,механическая,передний,3 или более,1.6,98.0,бензиновый ,АИ-95 ,11.5,7.2,Россия ,B ,183.0,Euro 4 ,305000.0
Kia,2016,184000.0,чёрный,2460.0,механическая,передний,2 владельца,1.6,123.0,бензиновый ,АИ-95 ,10.3,6.4,Южная Корея ,B ,190.0,Euro 4 ,1050000.0
Hyundai,2014,136201.0,белый,3000.0,автоматическая,полный,3 или более,2.0,150.0,бензиновый ,АИ-95 ,11.7,8.8,Южная Корея ,C ,175.0,Euro 4 ,1759000.0
